date,ccaa,pcr,pcr_ia_14
2020-02-23,Extremadura,0,NA
2020-02-23,Galicia,0,NA
2020-02-23,Madrid,1,NA
2020-02-23,Melilla,0,NA
2020-02-23,Murcia,0,NA
2020-02-23,Navarra,0,NA
2020-02-23,País Vasco,0,NA
2020-02-23,La Rioja,0,NA
2020-02-24,Andalucía,0,NA
2020-02-24,Aragón,0,NA
2020-02-24,Asturias,0,NA
2020-02-24,Baleares,1,NA
2020-02-24,Canarias,2,NA
2020-02-24,Cantabria,0,NA
2020-02-24,C. La Mancha,0,NA
2020-02-24,C. León,0,NA
2020-02-24,Cataluña,0,NA
2020-02-24,Ceuta,0,NA
2020-02-24,C. Valenciana,0,NA
2020-02-24,Extremadura,0,NA
2020-02-24,Galicia,0,NA
2020-02-24,Madrid,1,NA
2020-02-24,Melilla,0,NA
2020-02-24,Murcia,0,NA
2020-02-24,Navarra,0,NA
2020-02-24,País Vasco,0,NA
2020-02-24,La Rioja,0,NA
2020-02-25,Andalucía,0,NA
2020-02-25,Aragón,0,NA
2020-02-25,Asturias,0,NA
2020-02-25,Baleares,1,NA
2020-02-25,Canarias,5,NA
2020-02-25,Cantabria,0,NA
2020-02-25,C. La Mancha,0,NA
2020-02-25,C. León,0,NA
2020-02-25,Cataluña,1,NA
2020-02-25,Ceuta,0,NA
2020-02-25,C. Valenciana,1,NA
2020-02-25,Extremadura,0,NA
2020-02-25,Galicia,0,NA
2020-02-25,Madrid,2,NA
2020-02-25,Melilla,0,NA
2020-02-25,Murcia,0,NA
2020-02-25,Navarra,0,NA
2020-02-25,País Vasco,0,NA
2020-02-25,La Rioja,0,NA
2020-02-26,Andalucía,1,NA
2020-02-26,Aragón,0,NA
2020-02-26,Asturias,0,NA
2020-02-26,Baleares,1,NA
2020-02-26,Canarias,6,NA
2020-02-26,Cantabria,0,NA
2020-02-26,C. La Mancha,0,NA
2020-02-26,C. León,0,NA
2020-02-26,Cataluña,2,NA
2020-02-26,Ceuta,0,NA
2020-02-26,C. Valenciana,2,NA
2020-02-26,Extremadura,0,NA
2020-02-26,Galicia,0,NA
2020-02-26,Madrid,6,NA
2020-02-26,Melilla,0,NA
2020-02-26,Murcia,0,NA
2020-02-26,Navarra,0,NA
2020-02-26,País Vasco,0,NA
2020-02-26,La Rioja,0,NA
2020-02-27,Andalucía,6,NA
2020-02-27,Aragón,0,NA
2020-02-27,Asturias,0,NA
2020-02-27,Baleares,1,NA
2020-02-27,Canarias,6,NA
2020-02-27,Cantabria,0,NA
2020-02-27,C. La Mancha,0,NA
2020-02-27,C. León,2,NA
2020-02-27,Cataluña,3,NA
2020-02-27,Ceuta,0,NA
2020-02-27,C. Valenciana,8,NA
2020-02-27,Extremadura,0,NA
2020-02-27,Galicia,0,NA
2020-02-27,Madrid,10,NA
2020-02-27,Melilla,0,NA
2020-02-27,Murcia,0,NA
2020-02-27,Navarra,0,NA
2020-02-27,País Vasco,0,NA
2020-02-27,La Rioja,0,NA
2020-02-28,Andalucía,8,NA
2020-02-28,Aragón,0,NA
2020-02-28,Asturias,0,NA
2020-02-28,Baleares,2,NA
2020-02-28,Canarias,6,NA
2020-02-28,Cantabria,0,NA
2020-02-28,C. La Mancha,0,NA
2020-02-28,C. León,2,NA
2020-02-28,Cataluña,5,NA
2020-02-28,Ceuta,0,NA
2020-02-28,C. Valenciana,10,NA
2020-02-28,Extremadura,0,NA
2020-02-28,Galicia,0,NA
2020-02-28,Madrid,20,NA
2020-02-28,Melilla,0,NA
2020-02-28,Murcia,0,NA
2020-02-28,Navarra,0,NA
2020-02-28,País Vasco,2,NA
2020-02-28,La Rioja,0,NA
2020-02-29,Andalucía,12,NA
2020-02-29,Aragón,0,NA
2020-02-29,Asturias,1,NA
2020-02-29,Baleares,2,NA
2020-02-29,Canarias,7,NA
2020-02-29,Cantabria,1,NA
2020-02-29,C. La Mancha,1,NA
2020-02-29,C. León,3,NA
2020-02-29,Cataluña,6,NA
2020-02-29,Ceuta,0,NA
2020-02-29,C. Valenciana,15,NA
2020-02-29,Extremadura,4,NA
2020-02-29,Galicia,0,NA
2020-02-29,Madrid,27,NA
2020-02-29,Melilla,0,NA
2020-02-29,Murcia,0,NA
2020-02-29,Navarra,1,NA
2020-02-29,País Vasco,3,NA
2020-02-29,La Rioja,0,NA
2020-03-01,Andalucía,12,NA
2020-03-01,Aragón,0,NA
2020-03-01,Asturias,1,NA
2020-03-01,Baleares,2,NA
2020-03-01,Canarias,7,NA
2020-03-01,Cantabria,10,NA
2020-03-01,C. La Mancha,3,NA
2020-03-01,C. León,3,NA
2020-03-01,Cataluña,15,NA
2020-03-01,Ceuta,0,NA
2020-03-01,C. Valenciana,15,NA
2020-03-01,Extremadura,6,NA
2020-03-01,Galicia,0,NA
2020-03-01,Madrid,53,NA
2020-03-01,Melilla,0,NA
2020-03-01,Murcia,0,NA
2020-03-01,Navarra,1,NA
2020-03-01,País Vasco,9,NA
2020-03-01,La Rioja,1,NA
2020-03-02,Andalucía,12,NA
2020-03-02,Aragón,0,NA
2020-03-02,Asturias,1,NA
2020-03-02,Baleares,2,NA
2020-03-02,Canarias,7,NA
2020-03-02,Cantabria,10,NA
2020-03-02,C. La Mancha,7,NA
2020-03-02,C. León,8,NA
2020-03-02,Cataluña,15,NA
2020-03-02,Ceuta,0,NA
2020-03-02,C. Valenciana,15,NA
2020-03-02,Extremadura,6,NA
2020-03-02,Galicia,0,NA
2020-03-02,Madrid,96,NA
2020-03-02,Melilla,0,NA
2020-03-02,Murcia,0,NA
2020-03-02,Navarra,1,NA
2020-03-02,País Vasco,13,NA
2020-03-02,La Rioja,2,NA
2020-03-03,Andalucía,12,NA
2020-03-03,Aragón,0,NA
2020-03-03,Asturias,2,NA
2020-03-03,Baleares,5,NA
2020-03-03,Canarias,7,NA
2020-03-03,Cantabria,10,NA
2020-03-03,C. La Mancha,12,NA
2020-03-03,C. León,11,NA
2020-03-03,Cataluña,15,NA
2020-03-03,Ceuta,0,NA
2020-03-03,C. Valenciana,19,NA
2020-03-03,Extremadura,6,NA
2020-03-03,Galicia,1,NA
2020-03-03,Madrid,142,NA
2020-03-03,Melilla,0,NA
2020-03-03,Murcia,0,NA
2020-03-03,Navarra,3,NA
2020-03-03,País Vasco,17,NA
2020-03-03,La Rioja,7,NA
2020-03-04,Andalucía,12,NA
2020-03-04,Aragón,1,NA
2020-03-04,Asturias,4,NA
2020-03-04,Baleares,6,NA
2020-03-04,Canarias,8,NA
2020-03-04,Cantabria,10,NA
2020-03-04,C. La Mancha,13,NA
2020-03-04,C. León,11,NA
2020-03-04,Cataluña,24,NA
2020-03-04,Ceuta,0,NA
2020-03-04,C. Valenciana,19,NA
2020-03-04,Extremadura,6,NA
2020-03-04,Galicia,1,NA
2020-03-04,Madrid,199,NA
2020-03-04,Melilla,0,NA
2020-03-04,Murcia,0,NA
2020-03-04,Navarra,3,NA
2020-03-04,País Vasco,17,NA
2020-03-04,La Rioja,17,NA
2020-03-05,Andalucía,21,NA
2020-03-05,Aragón,1,NA
2020-03-05,Asturias,4,NA
2020-03-05,Baleares,6,NA
2020-03-05,Canarias,11,NA
2020-03-05,Cantabria,10,NA
2020-03-05,C. La Mancha,15,NA
2020-03-05,C. León,14,NA
2020-03-05,Cataluña,24,NA
2020-03-05,Ceuta,0,NA
2020-03-05,C. Valenciana,30,NA
2020-03-05,Extremadura,6,NA
2020-03-05,Galicia,3,NA
2020-03-05,Madrid,311,NA
2020-03-05,Melilla,0,NA
2020-03-05,Murcia,0,NA
2020-03-05,Navarra,3,NA
2020-03-05,País Vasco,45,NA
2020-03-05,La Rioja,29,NA
2020-03-06,Andalucía,27,NA
2020-03-06,Aragón,5,NA
2020-03-06,Asturias,7,NA
2020-03-06,Baleares,6,NA
2020-03-06,Canarias,11,NA
2020-03-06,Cantabria,10,NA
2020-03-06,C. La Mancha,15,NA
2020-03-06,C. León,14,NA
2020-03-06,Cataluña,24,NA
2020-03-06,Ceuta,0,NA
2020-03-06,C. Valenciana,30,NA
2020-03-06,Extremadura,6,NA
2020-03-06,Galicia,3,NA
2020-03-06,Madrid,515,NA
2020-03-06,Melilla,0,NA
2020-03-06,Murcia,0,NA
2020-03-06,Navarra,3,NA
2020-03-06,País Vasco,45,NA
2020-03-06,La Rioja,47,NA
2020-03-07,Andalucía,34,NA
2020-03-07,Aragón,5,NA
2020-03-07,Asturias,8,NA
2020-03-07,Baleares,8,NA
2020-03-07,Canarias,17,NA
2020-03-07,Cantabria,12,NA
2020-03-07,C. La Mancha,15,NA
2020-03-07,C. León,22,NA
2020-03-07,Cataluña,49,NA
2020-03-07,Ceuta,0,NA
2020-03-07,C. Valenciana,37,NA
2020-03-07,Extremadura,6,NA
2020-03-07,Galicia,5,NA
2020-03-07,Madrid,738,NA
2020-03-07,Melilla,0,NA
2020-03-07,Murcia,1,NA
2020-03-07,Navarra,3,NA
2020-03-07,País Vasco,70,NA
2020-03-07,La Rioja,70,NA
2020-03-08,Andalucía,54,NA
2020-03-08,Aragón,7,NA
2020-03-08,Asturias,10,NA
2020-03-08,Baleares,11,NA
2020-03-08,Canarias,22,NA
2020-03-08,Cantabria,12,NA
2020-03-08,C. La Mancha,26,NA
2020-03-08,C. León,23,NA
2020-03-08,Cataluña,59,NA
2020-03-08,Ceuta,0,NA
2020-03-08,C. Valenciana,37,NA
2020-03-08,Extremadura,7,NA
2020-03-08,Galicia,6,NA
2020-03-08,Madrid,1003,NA
2020-03-08,Melilla,0,NA
2020-03-08,Murcia,4,NA
2020-03-08,Navarra,3,NA
2020-03-08,País Vasco,149,NA
2020-03-08,La Rioja,102,NA
2020-03-09,Andalucía,71,NA
2020-03-09,Aragón,30,NA
2020-03-09,Asturias,15,NA
2020-03-09,Baleares,13,NA
2020-03-09,Canarias,25,NA
2020-03-09,Cantabria,12,NA
2020-03-09,C. La Mancha,39,NA
2020-03-09,C. León,56,NA
2020-03-09,Cataluña,82,NA
2020-03-09,Ceuta,0,NA
2020-03-09,C. Valenciana,50,NA
2020-03-09,Extremadura,8,NA
2020-03-09,Galicia,22,NA
2020-03-09,Madrid,1508,NA
2020-03-09,Melilla,0,NA
2020-03-09,Murcia,9,NA
2020-03-09,Navarra,12,NA
2020-03-09,País Vasco,195,NA
2020-03-09,La Rioja,155,NA
2020-03-10,Andalucía,90,NA
2020-03-10,Aragón,38,NA
2020-03-10,Asturias,32,NA
2020-03-10,Baleares,16,NA
2020-03-10,Canarias,37,NA
2020-03-10,Cantabria,12,NA
2020-03-10,C. La Mancha,71,NA
2020-03-10,C. León,71,NA
2020-03-10,Cataluña,123,NA
2020-03-10,Ceuta,0,NA
2020-03-10,C. Valenciana,65,NA
2020-03-10,Extremadura,9,NA
2020-03-10,Galicia,35,NA
2020-03-10,Madrid,2213,NA
2020-03-10,Melilla,0,NA
2020-03-10,Murcia,11,NA
2020-03-10,Navarra,46,NA
2020-03-10,País Vasco,225,NA
2020-03-10,La Rioja,185,NA
2020-03-11,Andalucía,115,NA
2020-03-11,Aragón,45,NA
2020-03-11,Asturias,37,NA
2020-03-11,Baleares,22,NA
2020-03-11,Canarias,51,NA
2020-03-11,Cantabria,16,NA
2020-03-11,C. La Mancha,115,NA
2020-03-11,C. León,92,NA
2020-03-11,Cataluña,202,NA
2020-03-11,Ceuta,0,NA
2020-03-11,C. Valenciana,76,NA
2020-03-11,Extremadura,19,NA
2020-03-11,Galicia,35,NA
2020-03-11,Madrid,2943,NA
2020-03-11,Melilla,0,NA
2020-03-11,Murcia,26,NA
2020-03-11,Navarra,73,NA
2020-03-11,País Vasco,346,NA
2020-03-11,La Rioja,220,NA
2020-03-12,Andalucía,219,NA
2020-03-12,Aragón,64,NA
2020-03-12,Asturias,40,NA
2020-03-12,Baleares,28,NA
2020-03-12,Canarias,70,NA
2020-03-12,Cantabria,29,NA
2020-03-12,C. La Mancha,194,NA
2020-03-12,C. León,169,NA
2020-03-12,Cataluña,349,NA
2020-03-12,Ceuta,0,NA
2020-03-12,C. Valenciana,94,NA
2020-03-12,Extremadura,39,NA
2020-03-12,Galicia,85,NA
2020-03-12,Madrid,3732,NA
2020-03-12,Melilla,2,NA
2020-03-12,Murcia,35,NA
2020-03-12,Navarra,130,NA
2020-03-12,País Vasco,417,NA
2020-03-12,La Rioja,259,NA
2020-03-13,Andalucía,269,NA
2020-03-13,Aragón,80,NA
2020-03-13,Asturias,86,NA
2020-03-13,Baleares,28,NA
2020-03-13,Canarias,90,NA
2020-03-13,Cantabria,31,NA
2020-03-13,C. La Mancha,289,NA
2020-03-13,C. León,223,NA
2020-03-13,Cataluña,558,NA
2020-03-13,Ceuta,0,NA
2020-03-13,C. Valenciana,130,NA
2020-03-13,Extremadura,66,NA
2020-03-13,Galicia,115,NA
2020-03-13,Madrid,4672,NA
2020-03-13,Melilla,3,NA
2020-03-13,Murcia,47,NA
2020-03-13,Navarra,146,NA
2020-03-13,País Vasco,521,NA
2020-03-13,La Rioja,292,NA
2020-03-14,Andalucía,437,NA
2020-03-14,Aragón,121,NA
2020-03-14,Asturias,123,NA
2020-03-14,Baleares,42,NA
2020-03-14,Canarias,109,NA
2020-03-14,Cantabria,51,NA
2020-03-14,C. La Mancha,401,NA
2020-03-14,C. León,292,NA
2020-03-14,Cataluña,742,NA
2020-03-14,Ceuta,1,NA
2020-03-14,C. Valenciana,409,NA
2020-03-14,Extremadura,95,NA
2020-03-14,Galicia,195,NA
2020-03-14,Madrid,5576,NA
2020-03-14,Melilla,8,NA
2020-03-14,Murcia,71,NA
2020-03-14,Navarra,183,NA
2020-03-14,País Vasco,630,NA
2020-03-14,La Rioja,300,NA
2020-03-15,Andalucía,554,NA
2020-03-15,Aragón,147,NA
2020-03-15,Asturias,160,NA
2020-03-15,Baleares,73,NA
2020-03-15,Canarias,119,NA
2020-03-15,Cantabria,58,NA
2020-03-15,C. La Mancha,567,NA
2020-03-15,C. León,334,NA
2020-03-15,Cataluña,1017,NA
2020-03-15,Ceuta,1,NA
2020-03-15,C. Valenciana,409,NA
2020-03-15,Extremadura,111,NA
2020-03-15,Galicia,245,NA
2020-03-15,Madrid,6392,NA
2020-03-15,Melilla,8,NA
2020-03-15,Murcia,77,NA
2020-03-15,Navarra,274,NA
2020-03-15,País Vasco,630,NA
2020-03-15,La Rioja,312,NA
2020-03-16,Andalucía,683,NA
2020-03-16,Aragón,207,NA
2020-03-16,Asturias,224,NA
2020-03-16,Baleares,92,NA
2020-03-16,Canarias,148,NA
2020-03-16,Cantabria,58,NA
2020-03-16,C. La Mancha,567,NA
2020-03-16,C. León,431,NA
2020-03-16,Cataluña,1414,NA
2020-03-16,Ceuta,1,NA
2020-03-16,C. Valenciana,541,NA
2020-03-16,Extremadura,153,NA
2020-03-16,Galicia,292,NA
2020-03-16,Madrid,7653,NA
2020-03-16,Melilla,17,NA
2020-03-16,Murcia,97,NA
2020-03-16,Navarra,313,NA
2020-03-16,País Vasco,765,NA
2020-03-16,La Rioja,355,NA
2020-03-17,Andalucía,859,NA
2020-03-17,Aragón,226,NA
2020-03-17,Asturias,269,NA
2020-03-17,Baleares,112,NA
2020-03-17,Canarias,181,NA
2020-03-17,Cantabria,68,NA
2020-03-17,C. La Mancha,675,NA
2020-03-17,C. León,668,NA
2020-03-17,Cataluña,1866,NA
2020-03-17,Ceuta,1,NA
2020-03-17,C. Valenciana,726,NA
2020-03-17,Extremadura,194,NA
2020-03-17,Galicia,341,NA
2020-03-17,Madrid,9601,NA
2020-03-17,Melilla,20,NA
2020-03-17,Murcia,122,NA
2020-03-17,Navarra,386,NA
2020-03-17,País Vasco,973,NA
2020-03-17,La Rioja,419,NA
2020-03-18,Andalucía,1008,NA
2020-03-18,Aragón,281,NA
2020-03-18,Asturias,310,NA
2020-03-18,Baleares,169,NA
2020-03-18,Canarias,220,NA
2020-03-18,Cantabria,83,NA
2020-03-18,C. La Mancha,801,NA
2020-03-18,C. León,868,NA
2020-03-18,Cataluña,2702,NA
2020-03-18,Ceuta,1,NA
2020-03-18,C. Valenciana,921,NA
2020-03-18,Extremadura,241,NA
2020-03-18,Galicia,453,NA
2020-03-18,Madrid,11356,NA
2020-03-18,Melilla,23,NA
2020-03-18,Murcia,167,NA
2020-03-18,Navarra,482,NA
2020-03-18,País Vasco,1190,NA
2020-03-18,La Rioja,468,NA
2020-03-19,Andalucía,1287,NA
2020-03-19,Aragón,360,NA
2020-03-19,Asturias,429,NA
2020-03-19,Baleares,203,NA
2020-03-19,Canarias,287,NA
2020-03-19,Cantabria,144,NA
2020-03-19,C. La Mancha,1044,NA
2020-03-19,C. León,1147,NA
2020-03-19,Cataluña,3270,NA
2020-03-19,Ceuta,5,NA
2020-03-19,C. Valenciana,1105,NA
2020-03-19,Extremadura,297,NA
2020-03-19,Galicia,578,NA
2020-03-19,Madrid,13399,NA
2020-03-19,Melilla,24,NA
2020-03-19,Murcia,204,NA
2020-03-19,Navarra,554,NA
2020-03-19,País Vasco,1465,NA
2020-03-19,La Rioja,497,NA
2020-03-20,Andalucía,1515,NA
2020-03-20,Aragón,424,NA
2020-03-20,Asturias,524,NA
2020-03-20,Baleares,246,NA
2020-03-20,Canarias,348,NA
2020-03-20,Cantabria,215,NA
2020-03-20,C. La Mancha,1423,NA
2020-03-20,C. León,1466,NA
2020-03-20,Cataluña,4203,NA
2020-03-20,Ceuta,5,NA
2020-03-20,C. Valenciana,1363,NA
2020-03-20,Extremadura,354,NA
2020-03-20,Galicia,739,NA
2020-03-20,Madrid,15722,NA
2020-03-20,Melilla,25,NA
2020-03-20,Murcia,240,NA
2020-03-20,Navarra,664,NA
2020-03-20,País Vasco,1725,NA
2020-03-20,La Rioja,564,NA
2020-03-21,Andalucía,1725,NA
2020-03-21,Aragón,532,NA
2020-03-21,Asturias,569,NA
2020-03-21,Baleares,331,NA
2020-03-21,Canarias,414,NA
2020-03-21,Cantabria,282,NA
2020-03-21,C. La Mancha,1819,NA
2020-03-21,C. León,1744,NA
2020-03-21,Cataluña,5046,NA
2020-03-21,Ceuta,5,NA
2020-03-21,C. Valenciana,1604,NA
2020-03-21,Extremadura,384,NA
2020-03-21,Galicia,915,NA
2020-03-21,Madrid,17397,NA
2020-03-21,Melilla,25,NA
2020-03-21,Murcia,296,NA
2020-03-21,Navarra,794,NA
2020-03-21,País Vasco,2097,NA
2020-03-21,La Rioja,654,NA
2020-03-22,Andalucía,1961,NA
2020-03-22,Aragón,638,NA
2020-03-22,Asturias,621,NA
2020-03-22,Baleares,400,NA
2020-03-22,Canarias,481,NA
2020-03-22,Cantabria,347,NA
2020-03-22,C. La Mancha,2078,NA
2020-03-22,C. León,2055,NA
2020-03-22,Cataluña,5747,NA
2020-03-22,Ceuta,6,NA
2020-03-22,C. Valenciana,1901,NA
2020-03-22,Extremadura,493,NA
2020-03-22,Galicia,1208,NA
2020-03-22,Madrid,18900,NA
2020-03-22,Melilla,28,NA
2020-03-22,Murcia,345,NA
2020-03-22,Navarra,886,NA
2020-03-22,País Vasco,2421,NA
2020-03-22,La Rioja,747,NA
2020-03-23,Andalucía,2470,NA
2020-03-23,Aragón,758,NA
2020-03-23,Asturias,754,NA
2020-03-23,Baleares,478,NA
2020-03-23,Canarias,557,NA
2020-03-23,Cantabria,425,NA
2020-03-23,C. La Mancha,2465,NA
2020-03-23,C. León,2460,NA
2020-03-23,Cataluña,7864,NA
2020-03-23,Ceuta,6,NA
2020-03-23,C. Valenciana,2167,NA
2020-03-23,Extremadura,636,NA
2020-03-23,Galicia,1415,NA
2020-03-23,Madrid,21569,NA
2020-03-23,Melilla,28,NA
2020-03-23,Murcia,385,NA
2020-03-23,Navarra,1014,NA
2020-03-23,País Vasco,2728,NA
2020-03-23,La Rioja,802,NA
2020-03-24,Andalucía,3008,NA
2020-03-24,Aragón,907,NA
2020-03-24,Asturias,812,NA
2020-03-24,Baleares,562,NA
2020-03-24,Canarias,657,NA
2020-03-24,Cantabria,510,NA
2020-03-24,C. La Mancha,2780,NA
2020-03-24,C. León,2940,NA
2020-03-24,Cataluña,9937,NA
2020-03-24,Ceuta,9,NA
2020-03-24,C. Valenciana,2616,NA
2020-03-24,Extremadura,742,NA
2020-03-24,Galicia,1653,NA
2020-03-24,Madrid,24475,NA
2020-03-24,Melilla,38,NA
2020-03-24,Murcia,477,NA
2020-03-24,Navarra,1197,NA
2020-03-24,País Vasco,3271,NA
2020-03-24,La Rioja,928,NA
2020-03-25,Andalucía,3404,NA
2020-03-25,Aragón,1116,NA
2020-03-25,Asturias,891,NA
2020-03-25,Baleares,660,NA
2020-03-25,Canarias,784,NA
2020-03-25,Cantabria,671,NA
2020-03-25,C. La Mancha,3383,NA
2020-03-25,C. León,3488,NA
2020-03-25,Cataluña,11592,NA
2020-03-25,Ceuta,10,NA
2020-03-25,C. Valenciana,3200,NA
2020-03-25,Extremadura,969,NA
2020-03-25,Galicia,1915,NA
2020-03-25,Madrid,27422,NA
2020-03-25,Melilla,39,NA
2020-03-25,Murcia,596,NA
2020-03-25,Navarra,1411,NA
2020-03-25,País Vasco,3946,NA
2020-03-25,La Rioja,995,NA
2020-03-26,Andalucía,3790,NA
2020-03-26,Aragón,1338,NA
2020-03-26,Asturias,960,NA
2020-03-26,Baleares,755,NA
2020-03-26,Canarias,878,NA
2020-03-26,Cantabria,810,NA
2020-03-26,C. La Mancha,3934,NA
2020-03-26,C. León,4132,NA
2020-03-26,Cataluña,12940,NA
2020-03-26,Ceuta,17,NA
2020-03-26,C. Valenciana,3532,NA
2020-03-26,Extremadura,1231,NA
2020-03-26,Galicia,2322,NA
2020-03-26,Madrid,30796,NA
2020-03-26,Melilla,42,NA
2020-03-26,Murcia,714,NA
2020-03-26,Navarra,1641,NA
2020-03-26,País Vasco,4601,NA
2020-03-26,La Rioja,1236,NA
2020-03-27,Andalucía,4271,NA
2020-03-27,Aragón,1592,NA
2020-03-27,Asturias,1037,NA
2020-03-27,Baleares,862,NA
2020-03-27,Canarias,1025,NA
2020-03-27,Cantabria,937,NA
2020-03-27,C. La Mancha,4512,NA
2020-03-27,C. León,4791,NA
2020-03-27,Cataluña,14263,NA
2020-03-27,Ceuta,17,NA
2020-03-27,C. Valenciana,4034,NA
2020-03-27,Extremadura,1394,NA
2020-03-27,Galicia,2772,NA
2020-03-27,Madrid,33162,NA
2020-03-27,Melilla,45,NA
2020-03-27,Murcia,802,NA
2020-03-27,Navarra,1829,NA
2020-03-27,País Vasco,5136,NA
2020-03-27,La Rioja,1436,NA
2020-03-28,Andalucía,4676,NA
2020-03-28,Aragón,1858,NA
2020-03-28,Asturias,1143,NA
2020-03-28,Baleares,958,NA
2020-03-28,Canarias,1125,NA
2020-03-28,Cantabria,1023,NA
2020-03-28,C. La Mancha,5246,NA
2020-03-28,C. León,5414,NA
2020-03-28,Cataluña,15025,NA
2020-03-28,Ceuta,21,NA
2020-03-28,C. Valenciana,4784,NA
2020-03-28,Extremadura,1456,NA
2020-03-28,Galicia,3139,NA
2020-03-28,Madrid,34189,NA
2020-03-28,Melilla,48,NA
2020-03-28,Murcia,872,NA
2020-03-28,Navarra,2011,NA
2020-03-28,País Vasco,5740,NA
2020-03-28,La Rioja,1629,NA
2020-03-29,Andalucía,5398,NA
2020-03-29,Aragón,2078,NA
2020-03-29,Asturias,1206,NA
2020-03-29,Baleares,1000,NA
2020-03-29,Canarias,1204,NA
2020-03-29,Cantabria,1100,NA
2020-03-29,C. La Mancha,5858,NA
2020-03-29,C. León,5801,NA
2020-03-29,Cataluña,16104,NA
2020-03-29,Ceuta,25,NA
2020-03-29,C. Valenciana,5110,NA
2020-03-29,Extremadura,1560,NA
2020-03-29,Galicia,3723,NA
2020-03-29,Madrid,35061,NA
2020-03-29,Melilla,51,NA
2020-03-29,Murcia,939,NA
2020-03-29,Navarra,2146,NA
2020-03-29,País Vasco,6057,NA
2020-03-29,La Rioja,1733,NA
2020-03-30,Andalucía,5809,NA
2020-03-30,Aragón,2272,NA
2020-03-30,Asturias,1295,NA
2020-03-30,Baleares,1069,NA
2020-03-30,Canarias,1262,NA
2020-03-30,Cantabria,1171,NA
2020-03-30,C. La Mancha,6424,NA
2020-03-30,C. León,6211,NA
2020-03-30,Cataluña,18520,NA
2020-03-30,Ceuta,34,NA
2020-03-30,C. Valenciana,5508,NA
2020-03-30,Extremadura,1628,NA
2020-03-30,Galicia,4039,NA
2020-03-30,Madrid,37607,NA
2020-03-30,Melilla,54,NA
2020-03-30,Murcia,974,NA
2020-03-30,Navarra,2305,NA
2020-03-30,País Vasco,6320,NA
2020-03-30,La Rioja,1810,NA
2020-03-31,Andalucía,6379,NA
2020-03-31,Aragón,2491,NA
2020-03-31,Asturias,1367,NA
2020-03-31,Baleares,1131,NA
2020-03-31,Canarias,1380,NA
2020-03-31,Cantabria,1213,NA
2020-03-31,C. La Mancha,7047,NA
2020-03-31,C. León,6847,NA
2020-03-31,Cataluña,19991,NA
2020-03-31,Ceuta,51,NA
2020-03-31,C. Valenciana,5922,NA
2020-03-31,Extremadura,1679,NA
2020-03-31,Galicia,4432,NA
2020-03-31,Madrid,39409,NA
2020-03-31,Melilla,62,NA
2020-03-31,Murcia,1041,NA
2020-03-31,Navarra,2497,NA
2020-03-31,País Vasco,6838,NA
2020-03-31,La Rioja,1960,NA
2020-04-01,Andalucía,6957,NA
2020-04-01,Aragón,2700,NA
2020-04-01,Asturias,1435,NA
